#{"t_start": 1565937205.1020954, "env_id": null}
r,l,t
797.771824,1000,1480.522097
1015.949149,1000,1480.523268
686.479678,1000,1480.523795
631.349391,1000,1498.316975
601.561451,1000,1498.317103
591.463711,1000,1498.31713
618.184825,1000,1498.317153
631.928233,1000,1498.317219
527.605408,1000,1498.317219
669.489981,1000,1498.317494
580.394322,1000,1498.318899
466.09551,1000,1514.902716
491.842265,1000,1514.905515
490.835168,1000,1514.905597
218.105064,1000,1514.905696
457.391882,1000,1514.905987
484.93855,1000,1514.906007
466.144615,1000,1514.906119
484.907222,1000,1514.912178
295.065955,1000,1532.080863
820.842968,1000,1532.080889
600.768224,1000,1532.081543
818.862318,1000,1532.082148
569.945227,1000,1532.082175
539.720836,1000,1532.082896
551.324805,1000,1532.082963
784.108583,1000,1532.083595
594.09492,1000,1548.611353
541.107725,1000,1548.611825
564.047626,1000,1548.611858
488.150992,1000,1548.611904
509.870742,1000,1548.611958
496.077302,1000,1548.612476
534.591303,1000,1548.612561
581.353629,1000,1548.612988
616.587792,1000,1565.644806
522.970723,1000,1565.644966
603.715006,1000,1565.645375
552.821205,1000,1565.645443
600.51306,1000,1565.645453
585.829552,1000,1565.646105
575.047464,1000,1565.646869
629.036084,1000,1565.647175
613.385015,1000,1582.548861
600.691777,1000,1582.550119
704.386376,1000,1582.550838
551.970677,1000,1582.55106
603.306625,1000,1582.551247
588.151525,1000,1582.551714
716.268229,1000,1582.551921
587.885356,1000,1582.558839
616.429141,1000,1599.152219
643.884751,1000,1599.152739
612.692498,1000,1599.152769
648.870159,1000,1599.153099
657.834712,1000,1599.153262
674.078333,1000,1599.153365
654.46432,1000,1599.153803
688.54039,1000,1599.154062
869.193589,1000,1616.134428
792.673544,1000,1616.134787
740.392412,1000,1616.134799
738.686603,1000,1616.135136
742.001328,1000,1616.135299
653.757797,1000,1616.13537
796.260055,1000,1616.136325
902.558475,1000,1616.136603
737.719072,1000,1632.163353
826.434279,1000,1632.163397
611.754811,1000,1632.163404
816.072262,1000,1632.163421
879.441652,1000,1632.163445
688.310805,1000,1632.163668
715.057328,1000,1632.164104
871.710395,1000,1632.16457
687.587902,1000,1649.417026
718.802466,1000,1649.417256
708.124956,1000,1649.417256
601.812076,1000,1649.417337
692.034858,1000,1649.417367
763.465233,1000,1649.417444
647.804834,1000,1649.418608
690.755495,1000,1649.421132
582.387097,1000,1667.042003
599.004539,1000,1667.043022
630.201618,1000,1667.043063
624.222138,1000,1667.043371
658.641601,1000,1667.043527
611.618115,1000,1667.043859
689.577602,1000,1667.045546
656.353654,1000,1667.045904
572.414359,1000,1683.739667
556.008531,1000,1683.739779
514.503603,1000,1683.739778
529.678961,1000,1683.739782
561.50545,1000,1683.740117
546.070164,1000,1683.740261
576.236719,1000,1683.740944
467.316855,1000,1683.74162
721.08507,1000,1700.398277
663.235423,1000,1700.400237
683.37041,1000,1700.400519
680.2653,1000,1700.401356
708.74409,1000,1700.401918
738.796718,1000,1700.401987
701.485418,1000,1700.402232
656.432041,1000,1700.409558
677.486237,1000,1717.349678
715.133261,1000,1717.352659
782.262848,1000,1717.352688
722.856227,1000,1717.352741
668.692703,1000,1717.353621
777.314824,1000,1717.35393
643.452696,1000,1717.354213
655.361069,1000,1717.362407
831.171496,1000,1733.658158
688.074054,1000,1733.658481
841.584687,1000,1733.658551
688.88415,1000,1733.658881
703.139253,1000,1733.659451
843.33837,1000,1733.659842
871.981798,1000,1733.65997
773.935298,1000,1733.66063
667.993068,1000,1750.800713
766.012478,1000,1750.802831
692.213073,1000,1750.803042
767.120191,1000,1750.803357
819.244744,1000,1750.803404
807.765446,1000,1750.803554
725.756642,1000,1750.804154
706.208232,1000,1750.808316
818.236499,1000,1768.009827
665.622389,1000,1768.012011
701.966285,1000,1768.01259
769.926292,1000,1768.013457
788.983758,1000,1768.01371
710.887393,1000,1768.013918
816.751388,1000,1768.014629
819.017544,1000,1768.021061
628.10368,1000,1785.104797
667.31258,1000,1785.104866
763.949267,1000,1785.105947
648.33848,1000,1785.106168
572.301692,1000,1785.106201
763.431219,1000,1785.106385
582.723193,1000,1785.106639
694.631665,1000,1785.106745
803.176437,1000,1802.204347
835.504032,1000,1802.207739
736.11546,1000,1802.207758
767.236753,1000,1802.208437
713.8086,1000,1802.208459
780.161126,1000,1802.208606
789.271466,1000,1802.208642
857.885875,1000,1802.217934
707.69206,1000,1819.42672
766.593171,1000,1819.426969
698.224518,1000,1819.42769
787.200165,1000,1819.427841
757.106868,1000,1819.428842
776.360868,1000,1819.42959
824.580398,1000,1819.429716
743.044544,1000,1819.430088
642.414444,1000,1836.940273
500.945291,1000,1836.942808
664.952945,1000,1836.942849
727.111992,1000,1836.942962
590.601677,1000,1836.943019
459.135407,1000,1836.94322
536.835912,1000,1836.943441
652.179364,1000,1836.947907
688.808688,1000,1854.225582
624.792045,1000,1854.22646
761.374986,1000,1854.22684
710.189332,1000,1854.226853
873.553836,1000,1854.228071
676.475826,1000,1854.228554
768.614551,1000,1854.228941
753.371782,1000,1854.233126
665.23686,1000,1871.369822
708.519397,1000,1871.37001
828.790533,1000,1871.370286
718.43246,1000,1871.370304
754.68787,1000,1871.370798
750.597503,1000,1871.370846
705.641462,1000,1871.371496
712.980973,1000,1871.372912
719.552878,1000,1888.382755
717.942627,1000,1888.385014
710.356719,1000,1888.38565
680.712806,1000,1888.386703
760.098949,1000,1888.386786
684.675143,1000,1888.386794
777.338603,1000,1888.38701
764.846856,1000,1888.392885
666.341782,1000,1905.279798
754.139312,1000,1905.280891
731.78285,1000,1905.281267
745.868971,1000,1905.281664
763.332458,1000,1905.281797
692.250472,1000,1905.28183
789.379743,1000,1905.282113
731.147082,1000,1905.282261
746.163204,1000,1923.793769
726.85608,1000,1923.794639
795.256615,1000,1923.794878
718.024278,1000,1923.796057
536.635052,1000,1923.796076
801.68417,1000,1923.796083
739.370079,1000,1923.79631
721.845845,1000,1923.796798
765.102345,1000,1942.020836
646.640885,1000,1942.022008
788.14635,1000,1942.022089
783.423719,1000,1942.022279
776.599323,1000,1942.023206
806.565217,1000,1942.023393
814.105535,1000,1942.023393
814.328215,1000,1942.03349
714.75498,1000,1959.276247
779.40666,1000,1959.278733
754.02731,1000,1959.278856
427.200633,1000,1959.279146
668.481812,1000,1959.279422
632.90583,1000,1959.279553
692.34086,1000,1959.280437
687.010966,1000,1959.284757
714.534958,1000,1977.175078
783.626784,1000,1977.175318
722.639664,1000,1977.175366
743.66297,1000,1977.175382
708.164669,1000,1977.17624
717.304245,1000,1977.176927
706.549541,1000,1977.177297
860.892749,1000,1977.17856
600.348698,1000,1995.20378
563.434865,1000,1995.206481
759.744635,1000,1995.206586
628.144764,1000,1995.206676
654.77532,1000,1995.206944
694.245583,1000,1995.208323
771.26791,1000,1995.211088
679.36101,1000,1995.212091
805.437331,1000,2011.811319
777.061266,1000,2011.811383
759.136455,1000,2011.811421
747.870032,1000,2011.811742
735.872136,1000,2011.811903
780.279959,1000,2011.811979
718.914539,1000,2011.81218
727.928248,1000,2011.813498
